target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	
189	gene-A1S_2537	0.004953339	0.032733972	-2.455325863	0.873765067	0.534515751	2.210484093	0.063561309	0.237852284	0.699904084	0.699904084
190	id-A1S_1223	0.00518744	0.034100593	2.817681563	1.008058166	1.331997741	2.911350619	0.134069031	0.263292203	0.882112236	0.882112236
191	gene-A1S_0059	0.00522032	0.034137066	-2.421815739	0.867066381	0.517760689	2.002122471	0.064244082	0.006343888	0.687560028	0.687560028
192	gene-A1S_2504	0.005254388	0.034180888	1.826974817	0.654592761	3.051589506	1.398273449	0.133144864	0.295346819	0.086599242	0.295346819
193	gene-A1S_2895	0.00540612	0.034985719	-2.403046403	0.863851183	0.508376021	1.978819793	0.065675392	0.015238289	0.680563474	0.680563474
194	gene-A1S_0161	0.005646055	0.036222319	-2.342100171	0.846238799	0.477902905	1.90801163	0.058651352	0.060649486	0.657468754	0.657468754
195	gene-A1S_1411	0.005655206	0.036222319	-2.439905917	0.881745781	0.526805778	2.02524875	0.083227686	-0.021925002	0.694247936	0.694247936
196	gene-A1S_2717	0.005986936	0.038151443	-0.816564827	0.297095144	4.113211693	0.281103055	0.035655711	0.052609813	0.03672709	0.052609813
197	gene-A1S_0076	0.006018681	0.038159047	-0.941603619	0.342804963	3.613918369	0.313700072	0.064380358	-0.037138937	0.053134885	0.053134885
198	gene-A1S_0775	0.00615513	0.038631945	-2.332676962	0.851528193	0.473191301	1.998060675	0.071250108	0.205149998	0.653850155	0.653850155
199	gene-A1S_2483	0.006153305	0.038631945	-2.350462653	0.857990216	0.482084146	2.126592958	0.075477443	0.352074653	0.660669769	0.660669769
200	gene-A1S_0737	0.006252649	0.038650896	-1.062036679	0.38842269	3.271856862	0.401346678	0.080839821	-0.042780757	0.070032365	0.070032365
201	gene-A1S_1898	0.006239903	0.038650896	-1.70433832	0.623180984	2.926740534	1.089747933	0.291001737	-0.108764391	0.097352802	0.097352802
202	gene-A1S_2077	0.006242271	0.038650896	2.773382335	1.014116763	1.279421298	2.794935727	0.129510954	0.21706785	0.898921855	0.898921855
203	gene-A1S_3355	0.006281931	0.038650896	-2.215472927	0.810729513	0.414589283	1.911689462	0.049341589	0.364032457	0.607940755	0.607940755
204	gene-A1S_0156	0.006347925	0.038865483	-1.430792459	0.524244515	3.516138096	0.865610561	0.100320516	0.174511795	0.057189379	0.174511795
205	gene-A1S_3185	0.006420593	0.039077637	0.728643311	0.267343873	3.949268184	0.177925349	0.02996759	-0.028540104	0.041505156	0.041505156
206	gene-A1S_3213	0.006445151	0.039077637	3.414814053	1.25349674	2.262440861	4.934487725	0.02822131	1.543032768	0.24850622	1.543032768
207	gene-A1S_1879	0.006550663	0.039525496	-2.785118359	1.02436857	1.477062678	3.048500077	0.24029959	0.454008389	0.809031377	0.809031377
208	gene-A1S_0515	0.006725643	0.040386192	-2.19204384	0.808832858	0.402874739	1.765336408	0.055617292	0.189859222	0.5985933	0.5985933
209	gene-A1S_3060	0.006915675	0.041328601	-1.023492015	0.378947918	3.374133264	0.359798528	0.079530817	-0.063600977	0.064070708	0.064070708
210	gene-A1S_0279	0.007082454	0.04212374	-1.42143826	0.527838382	5.567152619	0.694277723	0.263450289	-0.232277067	0.015163068	0.015163068
211	gene-A1S_1507	0.007219775	0.042736963	-2.247448381	0.836560777	0.43057701	1.932527922	0.079218277	0.294061494	0.620615656	0.620615656
212	gene-A1S_0485	0.007319156	0.043120879	-1.894082119	0.706229783	2.700375286	1.26120971	0.376030705	-0.277989676	0.122729801	0.122729801
213	gene-A1S_1950	0.007428047	0.04355695	2.673414857	0.998653748	1.641910567	3.047255204	0.054331644	0.942977664	0.698581542	0.942977664
214	gene-A1S_0117	0.007678794	0.044816886	-2.042603782	0.766203508	2.467810602	1.539343602	0.417937026	-0.195036727	0.16913079	0.16913079
215	gene-A1S_3227	0.007789899	0.04525388	-1.84695189	0.694070649	2.608742503	1.383713967	0.344504015	0.025451293	0.137230051	0.137230051
216	gene-A1S_2005	0.008117038	0.046936022	2.683392312	1.013686353	1.32441631	2.706946922	0.14279731	0.317325924	0.884762712	0.884762712
217	gene-A1S_1028	0.008389021	0.048072394	2.576672194	0.977493958	1.443482904	2.741925731	0.126455559	0.666813239	0.829038879	0.829038879
218	gene-A1S_1178	0.008489395	0.048072394	1.697102658	0.644805736	2.399377618	1.237235435	0.190856452	0.224917984	0.191326723	0.224917984
219	gene-A1S_1732	0.0085265	0.048072394	-1.999633736	0.760178983	2.446325579	1.427370171	0.402263029	-0.260475313	0.175609057	0.175609057
220	gene-A1S_2193	0.008544493	0.048072394	1.860555363	0.707499807	2.250640962	1.487592737	0.222840645	0.277715332	0.254116606	0.277715332
221	gene-A1S_2528	0.008453597	0.048072394	-2.425119293	0.920909815	0.519412466	2.525784454	0.050331454	0.797743433	0.688785474	0.797743433
222	gene-A1S_3363	0.008391795	0.048072394	-2.178036	0.826301331	0.39587082	2.036462866	0.068500158	0.614273731	0.592982494	0.614273731
223	gene-A1S_2140	0.00866776	0.048547231	2.702934113	1.029733319	1.291214024	2.708296201	0.16495147	0.244566422	0.895399238	0.895399238
224	gene-A1S_0130	0.008938613	0.049619233	0.894949276	0.342316263	3.389769601	0.298755682	0.053938543	-0.006272124	0.063241881	0.063241881
225	gene-A1S_0882	0.008926593	0.049619233	-2.059187519	0.787496549	0.336446579	1.676601882	0.075287828	0.319488375	0.544862986	0.544862986
